اسم الموظف,البريد الإلكتروني,الحركة,التاريخ,الوقت
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:03:12
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:03:13
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,11:11:40
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,11:11:41
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-21,11:11:42
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,11:16:19
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:35
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:37
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:51
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:51
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:52
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:52
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:53
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:53
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:55
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:56
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:57
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,11:38:47
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-21,11:38:48
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,11:39:54
yousef mohammed,yousef@gmail.com,تسجيل دخول,2026-07-21,11:40:29
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:40:31
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:40:33
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,11:54:25
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,11:57:16
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,12:02:32
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:05:06
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:05:08
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-21,12:05:10
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:06:51
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-21,12:06:52
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,12:30:48
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,12:31:26
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:34:14
غير معروف,test_user_10397@nexuslink.com,تسجيل دخول,2026-07-21,13:02:50
غير معروف,test_user_93636@nexuslink.com,تسجيل دخول,2026-07-21,13:12:00
غير معروف,test_user_28501@nexuslink.com,تسجيل دخول,2026-07-21,13:16:34
غير معروف,test_user_13208@nexuslink.com,تسجيل دخول,2026-07-21,13:20:56
e@gmail.cim,e@gmail.com,تسجيل خروج,2026-07-21,13:34:55
enAI,en@gmail.com,تسجيل دخول,2026-07-21,13:58:45
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:09
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:12
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:14
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:15
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:16
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:16
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:18
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:19
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:19
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:20
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:23:59
Test User,test_user_51450@nexuslink.com,تسجيل دخول,2026-07-21,14:26:49
 bush,bu@gmail.com,تسجيل دخول,2026-07-21,14:32:15
Test User,test_user_22376@nexuslink.com,تسجيل دخول,2026-07-21,15:20:08
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل دخول,2026-07-21,15:22:49
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل خروج,2026-07-21,15:23:56
